Timestamp,IP,TCP,UDP,ICMP,DNS,ARP,HTTP
1744996543,83,52,31,0,6,0,0
1744996545,665,640,25,0,0,0,0
1744996546,612,604,8,0,0,0,0
1744996547,133,133,0,0,0,0,0
1744996548,124,110,14,0,6,0,0
1744996549,168,154,14,0,4,0,0
1744996550,1282,1263,19,0,0,0,0
1744996551,1814,1012,802,0,6,1,0
1744996552,1148,770,378,0,2,1,0
1744996553,30,5,25,0,0,0,0
1744996554,189,0,189,0,6,1,0
1744996555,37,0,37,0,0,0,0
1744996557,23,5,18,0,0,0,0
1744996558,226,95,131,0,8,0,0
1744996559,335,195,140,0,4,0,0
1744996560,187,146,41,0,0,0,0
1744996561,408,121,287,0,0,0,0
1744996562,34,20,14,0,0,0,0
